County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Litchfield County, Connecticut",407600,9005,185175,84797,20.80397448478901,Rural
"Suffolk city, Virginia",406850,51800,93268,81883,20.12609069681701,Urban
"Stillwater County, Montana",405540,30095,8916,72906,17.977511466193224,Rural
"Crook County, Oregon",404660,41013,24300,64820,16.01838580536747,Rural
"Walton County, Georgia",403810,13297,95453,71692,17.753894158143684,Urban
"Park County, Wyoming",403250,56029,29664,62586,15.52039677619343,Rural
"Brevard County, Florida",402940,12009,601573,63632,15.791929319501662,Suburban
"Lancaster County, South Carolina",402750,45057,94653,67407,16.736685288640597,Urban
"Carteret County, North Carolina",402520,37031,67944,61805,15.35451655,Rural
"Blanco County, Texas",402400,48031,11313,71201,17.694085487077533,Rural
"Sherburne County, Minnesota",402270,27141,96295,92374,22.963183931190496,Urban
"Sheridan County, Wyoming",402140,56033,30812,62531,15.549559854776945,Rural
"Baltimore County, Maryland",401410,24005,850702,81846,20.38962657,Urban
"Platte County, Missouri",400800,29165,105189,85031,21.215319361277444,Urban
"Charlotte County, Florida",400110,12015,184837,57887,14.46777136287521,Suburban
"Sussex County, New Jersey",399520,34037,144492,101645,25.441780136163395,Urban
"Carroll County, New Hampshire",399100,33003,49961,70873,17.75820596341769,Rural
"Isle of Wight County, Virginia",397830,51093,38301,84673,21.283714149259733,Urban
"Tuolumne County, California",397420,6109,55243,66846,16.819988928589403,Rural
"New London County, Connecticut",395890,9011,269131,79040,19.965141832327163,Suburban
"Washington County, Wisconsin",395850,55131,136300,85574,21.61778451433624,Urban
"Clay County, Florida",395680,12019,216308,74059,18.716892438334007,Urban
"Warren County, Ohio",395640,39165,239556,95709,24.19093114952988,Urban
"Robertson County, Tennessee",394140,47147,72309,67597,17.1505049,Urban
"Ellis County, Texas",393970,48139,187984,85272,21.644287636114427,Urban
"Lincoln County, Wyoming",393810,56023,19457,74835,19.00281861811533,Rural
"Northumberland County, Virginia",393750,51133,11965,61291,15.565968253968254,Rural
